iter	Logloss
0	0.6894574802
1	0.6851937512
2	0.6815046059
3	0.6776712626
4	0.6744609891
5	0.6713590182
6	0.6681733148
7	0.6650638362
8	0.6611451767
9	0.6577868899
10	0.6546216502
11	0.6512378038
12	0.6486161977
13	0.6455688008
14	0.6420590445
15	0.6388535806
16	0.6355657218
17	0.6326485035
18	0.6302502252
19	0.6271792476
20	0.624512203
21	0.6222824757
22	0.6196019869
23	0.6169241481
24	0.6145897089
25	0.6118424105
26	0.6086194667
27	0.6055545427
28	0.6026201911
29	0.5998317607
30	0.5967959413
31	0.5941219081
32	0.5919537321
33	0.5895358504
34	0.5868964582
35	0.5837192614
36	0.5815525701
37	0.579043093
38	0.5769661956
39	0.5754158442
40	0.5735431585
41	0.5711312372
42	0.5693042421
43	0.5668255804
44	0.5644412155
45	0.5623774786
46	0.5604072498
47	0.5585629752
48	0.5565741602
49	0.5545462302
50	0.5524158434
51	0.5504814769
52	0.5488557546
53	0.5470592618
54	0.5453474653
55	0.5434319128
56	0.5416265732
57	0.5396608336
58	0.5382795748
59	0.5368575716
60	0.5348041112
61	0.533111571
62	0.5312950295
63	0.5296921921
64	0.5281789143
65	0.5264619938
66	0.5247655269
67	0.5231442344
68	0.5212414685
69	0.5194312348
70	0.5179996497
71	0.5164915725
72	0.5146097472
73	0.5133898055
74	0.5118070397
75	0.5106997723
76	0.5099353539
77	0.5083611732
78	0.5063867976
79	0.5051087416
80	0.5036854966
81	0.5023040382
82	0.5009311806
83	0.4995935118
84	0.4986285391
85	0.497233266
86	0.4960219639
87	0.4947464281
88	0.4933857292
89	0.4921099064
90	0.4906031173
91	0.4895462165
92	0.4882521142
93	0.4868590057
94	0.4856348746
95	0.484749877
96	0.4832392355
97	0.4820702433
98	0.4809339982
99	0.4800529187
100	0.4789720542
101	0.4778173032
102	0.476776073
103	0.4753824762
104	0.4742619084
105	0.4729573505
106	0.4718483644
107	0.4709604216
108	0.4697271037
109	0.4683719939
110	0.467590153
111	0.4665201407
112	0.4654729385
113	0.4642702682
114	0.4633552787
115	0.462059682
116	0.4611660481
117	0.4605827845
118	0.4597370672
119	0.4588548105
120	0.4576700431
121	0.4566888214
122	0.4560064481
123	0.4553618461
124	0.4544808193
125	0.4536558553
126	0.4527881494
127	0.4518265101
128	0.4506268171
129	0.4496855484
130	0.4489799866
131	0.4479995997
132	0.4471461245
133	0.446261218
134	0.445505558
135	0.444866514
136	0.4439860827
137	0.4431153511
138	0.4422879416
139	0.4414564828
140	0.4406419497
141	0.4396821959
142	0.4386587983
143	0.4379137182
144	0.4371101527
145	0.4366955984
146	0.4359743605
147	0.4347405511
148	0.4341590381
149	0.4334193656
150	0.4328369809
151	0.4322898538
152	0.431837042
153	0.430945503
